CAPRI_code,NUTS_code
UKL00000,UKL1
UKL00000,UKL2
UKM00000,UKM
UKM00000,UKM5
UKM00000,UKM6
UKM00000,UKM9
UKM00000,UKM7
UKM00000,UKM8
UKM00000,UKM3
UKM00000,UKM2
UKN00000,UKN
UKN00000,UKN0
NO020000,NO02
NO030000,NO03
NO040000,NO04
NO050000,NO05
NO060000,NO06
NO070000,NO07
CZ010000,CZ01
CZ020000,CZ02
CZ030000,CZ03
CZ040000,CZ04
CZ050000,CZ05
CZ060000,CZ06
CZ070000,CZ07
CZ080000,CZ08
HU100000,HU1
HU100000,HU11
HU100000,HU12
HU100000,HU10
HU200000,HU2
HU300000,HU3
HU210000,HU21
HU220000,HU22
HU230000,HU23
HU310000,HU31
HU320000,HU32
HU330000,HU33
PL100000,PL7
PL100000,PL1
PL200000,PL2
PL300000,PL8
PL300000,PL3
PL400000,PL4
PL500000,PL5
PL600000,PL6
PL110000,PL71
PL110000,PL11
PL120000,PL92
PL120000,PL12
PL210000,PL21
PL220000,PL22
PL310000,PL81
PL310000,PL31
PL320000,PL82
PL320000,PL32
PL330000,PL72
PL330000,PL33
PL340000,PL84
PL340000,PL34
PL410000,PL41
PL420000,PL42
PL430000,PL43
PL510000,PL51
PL520000,PL52
PL610000,PL61
PL620000,PL62
PL630000,PL63
SK010000,SK01
SK020000,SK02
SK030000,SK03
SK040000,SK04
BG010000,BG31
BG020000,BG32
BG030000,BG33
BG040000,BG41
BG050000,BG42
BG060000,BG34
RO010000,RO21
RO020000,RO22
RO030000,RO31
RO040000,RO41
RO050000,RO42
RO060000,RO11
RO070000,RO12
RO080000,RO32
TR100000,TR1
TR100000,TR10
TR900000,TR9
TR900000,TR90
TR200000,TR2
TR300000,TR3
TR400000,TR4
TR500000,TR5
TR600000,TR6
TR700000,TR7
TR800000,TR8
TRA00000,TRA
TRB00000,TRB
TRC00000,TRC
TR210000,TR21
TR220000,TR22
TR310000,TR31
TR320000,TR32
TR330000,TR33
TR410000,TR41
TR420000,TR42
TR510000,TR51
TR520000,TR52
TR610000,TR61
TR620000,TR62
TR630000,TR63
TR710000,TR71
TR720000,TR72
TR810000,TR81
TR820000,TR82
TR830000,TR83
TRA10000,TRA1
TRA20000,TRA2
TRB10000,TRB1
TRB20000,TRB2
TRC10000,TRC1
TRC20000,TRC2
TRC30000,TRC3
CH,CH
BL100000,BE1
BL100000,BE10
DE300000,DE3
DE500000,DE5
DE600000,DE6
ES630000,ES63
ES640000,ES64
AT130000,AT13
UKI00000,UKI
UKI00000,UKI3
UKI00000,UKI4
UKI00000,UKI5
UKI00000,UKI6
UKI00000,UKI7
UKI00000,UKI1
UKI00000,UKI2
NO011000,NO01
